-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;0;0;0;0;1602.0780354072722;
Cascais;0;0;0;0;0;
Lisboa;0;2896.19697015;2838.7060121940376;2803.2225454459867;2731.400366655409;
Loures;1650.33;1617.5428938899997;1616.7677554848406;1529.8922596498212;1518.9905978615252;
Mafra;0;1549.6285877325;1489.7793588091542;1451.1205821603328;1410.21018763496;
Odivelas;0;1881.4097610000001;1819.506375313136;1769.2145478332056;1712.5677531232745;
Oeiras;2460.1499999999996;2411.193015;2325.540702233916;2323.4631934634504;2232.240731576928;
Sintra;1673.6376163610278;1723.1877528204234;1672.696388449397;1579.854194401791;1528.102243137328;
VilaFrancaDeXira;1575.8978752127573;1492.886935062255;1436.4801261548387;1378.9229081645203;1427.4716069746037;
Alcochete;0;0;0;0;1262.2120573237676;
Almada;0;0;1723.9002;1654.0284664194112;1569.5279597155297;
Barreiro;1244.0;1219.2443999999998;0;0;1113.8570408629084;
Moita;1035.094484245354;966.1372899000663;931.4881967401623;908.7781456015066;881.3371222902579;
Montijo;1459.5563223529502;1323.537968115;1295.8799068889978;1260.5168335137046;1276.5975249206963;
Palmela;1323.1632202415185;1288.6214736714742;1239.0071135615283;1219.028387749716;1220.541545263339;
Seixal;1549.8978585153309;1494.6843603485725;1420.9794373944533;1405.8670441554668;1401.8521964418653;
Sesimbra;1706.3817519064319;1671.5040469179282;1658.9219385954418;1810.1955794452804;1710.9436537058125;
Setubal;1395.2067151403512;1313.6337581301768;1286.1107217626168;1255.3703517124977;1243.6425266658405;
