-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,8.427824630859408,7.738100352542126,8.105513834303009,8.029545725969486,8.26073660345119,10.068352314178421,
Cascais,10.817309842858206,11.461361457871893,10.684755058728621,9.452667241217515,10.169428451588455,12.150964650811664,
Lisboa,11.505159246565512,11.325849349805717,11.147670607305942,12.68239415334777,13.349959772991744,13.014004675872805,
Loures,7.4928595906118955,7.068300093185718,6.9637322527434655,6.781091657819447,7.659073774728662,8.216942287596655,
Mafra,6.663574667405638,5.081255487847514,7.4052454354619375,7.744540446925686,5.017889182959422,10.920728111222138,
Odivelas,8.476433809397278,8.498394191297415,7.324690732518681,7.720737804452694,6.006551018246787,7.4401075203969365,
Oeiras,9.725455674112055,9.502332552334146,8.853622601385945,8.891954159140667,9.011813107519473,10.748765847477891,
Sintra,7.18531262840998,7.123665492880228,7.566843537362608,6.6367464663972235,6.154365068403247,7.302097912090655,
VilaFrancaDeXira,6.9188007100691635,7.317258452065671,7.164730455979127,6.779066281945181,7.579002859384145,6.285954131272771,
Alcochete,6.6180150229582875,5.391387444872162,5.729040942366453,5.331411479629799,0,5.435735994932527,
Almada,8.433031424774285,6.8859671584261175,7.476189052971268,7.214375322796491,7.033092966027226,7.9974540226915485,
Barreiro,6.545280680608672,7.625041320890299,6.178361037230589,7.412901595173278,6.364617100268899,9.684493742710778,
Moita,5.50453777956451,5.6154229935571545,5.041595804599804,6.246169065109962,8.118343125415311,5.0600400382190065,
Montijo,6.137949144013897,5.0886268917826865,4.669079819841183,6.096639891425657,6.345968394873343,6.143373049415568,
Palmela,5.655470030659626,4.9284745292266745,7.825049641856186,5.790043148293844,6.765589414111641,5.5368176075464755,
Seixal,6.670466553420099,6.512145182465949,6.465029947939532,7.02825489540127,7.547152135012222,7.211462570070994,
Sesimbra,6.0515703997136505,6.336080851498823,6.045981641213426,6.910613557307817,7.093880038534597,8.267386623322233,
Setubal,6.455778463202611,5.907895265227801,7.277403249910784,8.124472210672565,6.4281893153840794,6.1113220433474496,
