step;count_supply;gov_wealth;construction_wealth;company_wealth;bank_wealth;calculate_houses_prices_perm2;supply_volume;demand_volume;rental_supply_volume;rental_demand_volume;calculate_prices_in_supply;irs;vat;subsidyRate;salaryRate;births;breakups;deaths;children_leaving_home;n_of_households;subsidiesPaid;ivaCollected;irsCollected;companyServicesPaid;inheritagesFlow;constructionLabor;rawSalariesPaid;liquidSalariesReceived;expensesReceived;transactions_per_region;rents_per_region;number_of_houses_built_per_region;supply_per_bucket;demand_per_bucket;newly_built_houses_for_sale;mortgages_per_step;houses_for_sale;contractRents
0;0;1.2e8;6.0e6;7.2e7;8.04e7;NaN;Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 0);NaN;0.2;0.15;1.0;1.0;0;0;0;0;1200;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Dict{Any, Any}(Oeiras => Transaction[]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));House[];Mortgage[];House[];Dict{HouseLocation, Float64}(Oeiras => 5.119251709094484)
1;4;1.1939650025471438e8;5.817862862881911e6;7.221713866800627e7;8.021055039869621e7;2358.045556048554;Dict{HouseLocation, Int64}(Oeiras => 7);Dict{HouseLocation, Int64}(Oeiras => 92);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 85);1720.2327812064918;0.2;0.15;1.0;1.0;2;1;2;0;1202;150857.90361233344;303755.1681592717;1.4319926454425533e6;2.4e6;0.0;23937.137118088598;3.9041406182291657e6;2.4721479727866086e6;1.7212792862358768e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0022, 82344.46471959354, Oeiras), Transaction(0x002a, 106333.93062175193, Oeiras), Transaction(0x0031, 103903.53931003224, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 1, More => 0, LessThan50 => 3));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 4, LessThan125 => 5, More => 10, LessThan50 => 7));House[];Mortgage[Mortgage(31158.5062309625, 16365.846230766236, 35, 0x0048), Mortgage(81476.36028384871, 73968.7003221167, 35, 0x012c), Mortgage(76814.73478897204, 69359.24994596958, 35, 0x0120)];House[House(0x004f, Oeiras, NotSocialNeighbourhood, 1.0, 23), House(0x002e, Oeiras, NotSocialNeighbourhood, 1.0, 24), House(0x001a, Oeiras, NotSocialNeighbourhood, 1.0, 60), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2)];Dict{HouseLocation, Float64}(Oeiras => 5.117089477793512)
2;7;1.188192994402676e8;5.608286743489445e6;7.241744349752969e7;8.007359292949323e7;2144.1935403348552;Dict{HouseLocation, Int64}(Oeiras => 9);Dict{HouseLocation, Int64}(Oeiras => 99);Dict{HouseLocation, Int64}(Oeiras => 1);Dict{HouseLocation, Int64}(Oeiras => 87);2019.8151233802962;0.2;0.15;1.0;1.0;4;0;2;4;1204;150533.20518025014;301565.2889416442;1.433230821630052e6;2.4e6;0.0;30376.119392465735;3.9085651411458347e6;2.475334319515782e6;1.7088699706693173e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x001a, 55793.92302315388, Oeiras), Transaction(0x004f, 118571.96246302384, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 2, LessThan125 => 2, More => 0, LessThan50 => 3));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 10, LessThan125 => 7, More => 11, LessThan50 => 9));House[];Mortgage[Mortgage(34678.77402944143, 22977.115440429192, 34, 0x0060), Mortgage(103315.87626428029, 98284.67562641563, 34, 0x01d4)];House[House(0x002e, Oeiras, NotSocialNeighbourhood, 1.0, 24), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0033, Oeiras, NotSocialNeighbourhood, 1.0, 31), House(0x003c, Oeiras, NotSocialNeighbourhood, 1.0, 81), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0031, Oeiras, NotSocialNeighbourhood, 1.0, 13)];Dict{HouseLocation, Float64}(Oeiras => 5.1197153381985)
3;9;1.1819431466093595e8;5.446615767934125e6;7.260800935047106e7;7.990241316088715e7;2128.6803587207824;Dict{HouseLocation, Int64}(Oeiras => 11);Dict{HouseLocation, Int64}(Oeiras => 98);Dict{HouseLocation, Int64}(Oeiras => 1);Dict{HouseLocation, Int64}(Oeiras => 90);2066.5457726426403;0.2;0.15;1.0;1.0;3;0;0;7;1209;150167.2259802502;300503.3092506851;1.4338692170467214e6;2.4e6;0.0;45470.975555320634;3.9122862328125e6;2.47841701576578e6;1.7028520857538846e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x002e, 78141.92628528875, Oeiras), Transaction(0x003c, 148863.4368858083, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 5, LessThan125 => 2, More => 0, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 5, LessThan125 => 13, More => 7, LessThan50 => 10));House[];Mortgage[Mortgage(62639.5291153739, 59816.14576422418, 33, 0x01e0), Mortgage(110208.14637563772, 95970.20454399446, 33, 0x00d8)];House[House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0033, Oeiras, NotSocialNeighbourhood, 1.0, 31), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0031, Oeiras, NotSocialNeighbourhood, 1.0, 13), House(0x003e, Oeiras, NotSocialNeighbourhood, 1.0, 30), House(0x0039, Oeiras, NotSocialNeighbourhood, 1.0, 55), House(0x0044, Oeiras, NotSocialNeighbourhood, 1.0, 71), House(0x003c, Oeiras, NotSocialNeighbourhood, 1.0, 81)];Dict{HouseLocation, Float64}(Oeiras => 5.123480896047748)
4;12;1.1762260356957805e8;5.230172164781338e6;7.279053303761461e7;7.965845597095565e7;2111.408257067912;Dict{HouseLocation, Int64}(Oeiras => 14);Dict{HouseLocation, Int64}(Oeiras => 105);Dict{HouseLocation, Int64}(Oeiras => 1);Dict{HouseLocation, Int64}(Oeiras => 95);2149.6488417250093;0.2;0.15;1.0;1.0;3;1;2;4;1213;150060.59404025017;299806.6950658423;1.433670857271511e6;2.4e6;0.0;49843.60315278807;3.9163809182291683e6;2.4827100609576493e6;1.6989046053731074e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0039, 109367.02997578727, Oeiras), Transaction(0x0056, 187754.51014490362, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0019, 208.65768286365963, Oeiras)]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 7, LessThan125 => 3, More => 0, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 5, LessThan125 => 10, More => 7, LessThan50 => 13));House[];Mortgage[Mortgage(86569.67346083507, 81205.2271552825, 32, 0x0174), Mortgage(159756.74003413884, 147837.2839845476, 32, 0x0144)];House[House(0x0033, Oeiras, NotSocialNeighbourhood, 1.0, 31), House(0x0031, Oeiras, NotSocialNeighbourhood, 1.0, 13), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0044, Oeiras, NotSocialNeighbourhood, 1.0, 71), House(0x0044, Oeiras, NotSocialNeighbourhood, 1.0, 71), House(0x003e, Oeiras, NotSocialNeighbourhood, 1.0, 30), House(0x004a, Oeiras, NotSocialNeighbourhood, 1.0, 77), House(0x003c, Oeiras, NotSocialNeighbourhood, 1.0, 81), House(0x0056, Oeiras, NotSocialNeighbourhood, 1.0, 59), House(0x0036, Oeiras, NotSocialNeighbourhood, 1.0, 75)];Dict{HouseLocation, Float64}(Oeiras => 5.132415747615362)
5;10;1.1712586537548327e8;4.94372856162855e6;7.296511575961667e7;7.921266596540472e7;2089.855717110263;Dict{HouseLocation, Int64}(Oeiras => 15);Dict{HouseLocation, Int64}(Oeiras => 107);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 98);2031.6232188126621;0.2;0.15;1.0;1.0;1;0;2;0;1214;150410.20284025013;300656.01151146425;1.4376867480433865e6;2.4e6;0.0;49843.60315278807;3.9291346765625016e6;2.49144792851911e6;1.7037173985649673e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0033, 89538.55571004047, Oeiras), Transaction(0x0044, 141963.75216081107, Oeiras), Transaction(0x0036, 127513.03921078095, Oeiras), Transaction(0x0056, 175678.6704823531, Oeiras), Transaction(0x004a, 148578.51106024467, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 5, LessThan125 => 2, More => 1, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 7, LessThan125 => 15, More => 7, LessThan50 => 13));House[];Mortgage[Mortgage(76963.93613233477, 73663.21956504181, 31, 0x01d4), Mortgage(118656.6186083763, 113370.55847011384, 31, 0x01c8), Mortgage(106266.98796685993, 92595.3721166534, 31, 0x00cc), Mortgage(147084.0411617376, 136002.65306404248, 31, 0x0138)];House[House(0x0031, Oeiras, NotSocialNeighbourhood, 1.0, 13), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0044, Oeiras, NotSocialNeighbourhood, 1.0, 71), House(0x003e, Oeiras, NotSocialNeighbourhood, 1.0, 30), House(0x004a, Oeiras, NotSocialNeighbourhood, 1.0, 77), House(0x003c, Oeiras, NotSocialNeighbourhood, 1.0, 81), House(0x004a, Oeiras, NotSocialNeighbourhood, 1.0, 48), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10)];Dict{HouseLocation, Float64}(Oeiras => 5.132415747615362)
6;10;1.1661634015646222e8;4.674084958475763e6;7.315112972962758e7;7.90021634913445e7;2074.2085800773516;Dict{HouseLocation, Int64}(Oeiras => 11);Dict{HouseLocation, Int64}(Oeiras => 107);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 94);1933.7085047765067;0.2;0.15;1.0;1.0;4;0;0;0;1214;151017.3440419168;302685.8209026617;1.4373583819277629e6;2.4e6;0.0;49843.60315278806;3.9292056817708355e6;2.491847299843072e6;1.7152196517817494e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0044, 158256.778707112, Oeiras), Transaction(0x003e, 99327.20369324587, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 1, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 3, LessThan125 => 2, More => 2, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 5, LessThan125 => 18, More => 12, LessThan50 => 13));House[House(0x0060, Oeiras, NotSocialNeighbourhood, 1.0, 30)];Mortgage[Mortgage(131979.25160387813, 121933.36717292099, 30, 0x012c), Mortgage(83279.7898493915, 73665.25045193479, 30, 0x00d8)];House[House(0x0031, Oeiras, NotSocialNeighbourhood, 1.0, 13), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x004a, Oeiras, NotSocialNeighbourhood, 1.0, 77), House(0x004a, Oeiras, NotSocialNeighbourhood, 1.0, 48), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x003c, Oeiras, NotSocialNeighbourhood, 1.0, 81), House(0x0060, Oeiras, NotSocialNeighbourhood, 1.0, 30)];Dict{HouseLocation, Float64}(Oeiras => 5.1356379204822495)
7;11;1.1605020082392485e8;4.450855812101353e6;7.335859599809718e7;7.876102884014069e7;2071.337586084142;Dict{HouseLocation, Int64}(Oeiras => 13);Dict{HouseLocation, Int64}(Oeiras => 102);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 94);1944.2978285152371;0.2;0.15;1.0;1.0;1;0;3;2;1213;151017.34404191675;303621.92954615474;1.4299730267457284e6;2.4e6;0.0;37029.14637441121;3.913057998958332e6;2.4830849722126015e6;1.7205242674282095e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x004a, 140409.51388821116, Oeiras), Transaction(0x0047, 156151.2517495135, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 3, LessThan125 => 3, More => 2, LessThan50 => 3));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 8, LessThan125 => 14, More => 8, LessThan50 => 10));House[House(0x0060, Oeiras, NotSocialNeighbourhood, 1.0, 30)];Mortgage[Mortgage(118347.87253818466, 111908.02757896691, 29, 0x0174), Mortgage(128443.94429644945, 116701.73695646737, 29, 0x00fc)];House[House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0031, Oeiras, NotSocialNeighbourhood, 1.0, 13), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x0047, Oeiras, NotSocialNeighbourhood, 1.0, 69), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x004a, Oeiras, NotSocialNeighbourhood, 1.0, 77), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x003c, Oeiras, NotSocialNeighbourhood, 1.0, 81), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x0060, Oeiras, NotSocialNeighbourhood, 1.0, 30), House(0x0021, Oeiras, NotSocialNeighbourhood, 1.0, 41)];Dict{HouseLocation, Float64}(Oeiras => 5.135947265358883)
8;10;1.154182064286401e8;4.296226665726943e6;7.358108373180258e7;7.841127382314694e7;2105.1989384588824;Dict{HouseLocation, Int64}(Oeiras => 11);Dict{HouseLocation, Int64}(Oeiras => 106);Dict{HouseLocation, Int64}(Oeiras => 1);Dict{HouseLocation, Int64}(Oeiras => 93);1896.6486760792163;0.2;0.15;1.0;1.0;5;0;2;0;1214;151577.62672591684;306464.66808042733;1.4300313394092708e6;2.4e6;0.0;37029.14637441121;3.914145385416667e6;2.4841140460073934e6;1.7366331191224207e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0070, 262166.77870486246, Oeiras), Transaction(0x003c, 148747.64458789467, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0021, 240.1982703573272, Oeiras)]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 1, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 2, LessThan125 => 2, More => 2, LessThan50 => 3));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 7, LessThan125 => 15, More => 9, LessThan50 => 13));House[House(0x0060, Oeiras, NotSocialNeighbourhood, 1.0, 30), House(0x0041, Oeiras, NotSocialNeighbourhood, 1.0, 94)];Mortgage[Mortgage(228782.80256840226, 219598.403804107, 28, 0x01bc), Mortgage(127543.6865271999, 122992.4268824738, 28, 0x01e0)];House[House(0x0031, Oeiras, NotSocialNeighbourhood, 1.0, 13), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x0047, Oeiras, NotSocialNeighbourhood, 1.0, 69), House(0x004a, Oeiras, NotSocialNeighbourhood, 1.0, 77), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x0021, Oeiras, NotSocialNeighbourhood, 1.0, 41), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0060, Oeiras, NotSocialNeighbourhood, 1.0, 30), House(0x0041, Oeiras, NotSocialNeighbourhood, 1.0, 94)];Dict{HouseLocation, Float64}(Oeiras => 5.152309527452569)
9;7;1.1472336145613286e8;4.366621597031622e6;7.378446642291756e7;7.791828696288419e7;2057.874852519332;Dict{HouseLocation, Int64}(Oeiras => 12);Dict{HouseLocation, Int64}(Oeiras => 109);Dict{HouseLocation, Int64}(Oeiras => 0);Dict{HouseLocation, Int64}(Oeiras => 93);1865.3121810820019;0.2;0.15;1.0;1.0;3;1;1;0;1216;152314.85394491683;302910.72159385076;1.4295510830942737e6;2.4e6;0.0;25906.466034699468;3.913111397916667e6;2.483560314822396e6;1.716494089031816e6;Dict{Any, Any}(Oeiras => Transaction[Transaction(0x0031, 66687.27122047544, Oeiras), Transaction(0x0047, 157263.74559857397, Oeiras), Transaction(0x0021, 60299.809292858474, Oeiras), Transaction(0x0060, 166301.39733937796, Oeiras), Transaction(0x004a, 163345.55183484798, Oeiras)]);Dict{Any, Any}(Oeiras => Transaction[]);Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 0, LessThan125 => 0, More => 0, LessThan50 => 0));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 1, LessThan125 => 2, More => 2, LessThan50 => 2));Dict{HouseLocation, Dict{SizeInterval, Int64}}(Oeiras => Dict(LessThan75 => 11, LessThan125 => 16, More => 11, LessThan50 => 4));House[House(0x0041, Oeiras, NotSocialNeighbourhood, 1.0, 94)];Mortgage[Mortgage(53905.2308937129, 52010.07550610237, 27, 0x01d4), Mortgage(126118.6648944165, 115564.86336614145, 27, 0x00fc), Mortgage(36241.832096667626, 33209.06051373415, 27, 0x00fc), Mortgage(144812.0938346696, 130079.82085673066, 27, 0x00d8), Mortgage(139388.19642578505, 132810.60267112538, 27, 0x0180)];House[House(0x0029, Oeiras, NotSocialNeighbourhood, 1.0, 2), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x00ed, Oeiras, NotSocialNeighbourhood, 1.0, 10), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0041, Oeiras, NotSocialNeighbourhood, 1.0, 94), House(0x0070, Oeiras, NotSocialNeighbourhood, 1.0, 82), House(0x0030, Oeiras, NotSocialNeighbourhood, 1.0, 1)];Dict{HouseLocation, Float64}(Oeiras => 5.155536021070968)
